gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
Male,0,Yes,Yes,0,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),39.42,0.0,0
Female,1,No,No,62,Yes,No,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,73.08,4474.54,0
Male,0,Yes,No,20,No,No,Fiber optic,Yes,No internet service,Yes,No,No,No,Month-to-month,Yes,Electronic check,116.68,2378.55,0
Female,0,Yes,No,29,Yes,Yes,DSL,Yes,No internet service,No,No,No,No,Month-to-month,No,Mailed check,88.89,2599.88,0
Male,0,Yes,No,12,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,79.89,930.12,0
Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,63.16,2020.86,0
Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.8,235.87,1
Male,0,No,No,27,Yes,No,No,No,Yes,No,No,Yes,No,Two year,No,Mailed check,52.11,1419.48,0
Male,0,No,No,58,Yes,No,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.61,2711.18,1
Female,0,No,Yes,26,Yes,No,No,No,No internet service,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),49.21,1286.95,0
Male,0,Yes,No,68,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),110.21,7527.97,0
Male,1,No,No,24,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,One year,No,Mailed check,44.79,1017.43,0
Female,0,No,Yes,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,58.04,112.81,1
Male,1,No,No,67,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,84.13,5651.6,1
Male,1,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No,Yes,No internet service,One year,No,Credit card (automatic),43.59,1069.2,0
Male,0,No,No,19,Yes,No,DSL,No,No,No internet service,Yes,Yes,Yes,One year,No,Mailed check,76.78,1503.76,0
Male,1,Yes,No,33,Yes,No,DSL,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,76.77,2523.24,1
Male,0,No,No,25,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),51.27,1284.42,0
Male,1,Yes,Yes,4,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Two year,No,Mailed check,62.24,211.88,0
Male,1,Yes,Yes,60,Yes,Yes,No,No internet service,No,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),41.69,2520.81,0
Female,1,No,Yes,8,Yes,No,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),111.48,848.32,1
Male,0,Yes,No,49,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,77.73,3837.46,0
Female,0,No,Yes,5,Yes,No,DSL,No internet service,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,38.54,251.76,0
Male,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,73.79,4377.02,0
Female,0,Yes,Yes,43,Yes,No,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,75.15,3295.61,1
Female,0,No,No,10,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),18.0,157.33,1
Male,0,No,No,65,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No,Two year,Yes,Credit card (automatic),110.21,7103.71,0
Female,0,No,No,46,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No,One year,Yes,Mailed check,40.31,1846.17,0
Male,0,No,No,2,No,No,DSL,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),132.71,234.72,0
Female,1,No,No,29,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),93.86,2697.27,0
Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,36.2,612.91,0
Female,0,Yes,No,27,Yes,No phone service,DSL,No,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,60.57,1644.17,0
Female,0,No,No,61,Yes,No,DSL,Yes,Yes,No internet service,No,No,No,One year,No,Bank transfer (automatic),97.68,5959.56,0
Male,0,No,Yes,32,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),62.87,2053.99,0
Male,0,Yes,No,34,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,105.35,3609.55,1
Female,0,Yes,No,51,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),58.72,2985.95,0
Female,1,No,No,33,Yes,Yes,No,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),67.64,2277.76,1
Male,1,No,Yes,40,Yes,No,No,Yes,No internet service,Yes,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),98.5,3984.33,0
Female,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,88.1,4380.65,0
Female,0,No,Yes,46,No,No,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),42.24,1952.85,0
Male,0,No,No,57,Yes,Yes,DSL,No,No,No,No internet service,Yes,No,Two year,Yes,Electronic check,83.02,4807.66,0
Female,1,Yes,No,56,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,75.02,4217.45,0
Female,0,No,No,22,Yes,Yes,No,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),42.65,897.19,0
Female,0,No,No,47,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),28.29,1273.51,0
Male,0,No,No,21,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),18.0,304.43,1
Female,1,No,No,16,Yes,No phone service,DSL,No internet service,No internet service,No,No,No,Yes,One year,Yes,Credit card (automatic),61.17,876.33,0
Female,0,Yes,No,68,Yes,Yes,DSL,Yes,No,Yes,No internet service,No internet service,No,One year,Yes,Electronic check,68.38,4625.64,0
Male,0,Yes,No,10,Yes,No,DSL,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.14,842.67,0
Male,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,94.61,1275.72,0
Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),57.58,1923.51,1
Male,1,No,No,32,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,Yes,Two year,Yes,Mailed check,67.51,2112.62,0
Male,0,No,No,15,No,No,Fiber optic,Yes,No internet service,No,No,No,No,Month-to-month,No,Electronic check,47.24,629.6,0
Female,1,No,No,33,Yes,No,No,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Mailed check,72.62,2387.97,0
Female,0,No,No,65,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.06,6472.33,0
Female,0,No,No,39,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,73.03,2822.67,0
Female,1,Yes,No,27,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.9,2889.11,0
Female,0,Yes,No,46,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,98.55,4540.96,1
Male,0,Yes,Yes,38,Yes,No,DSL,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),113.73,4366.39,0
Male,0,No,No,69,Yes,No,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,73.88,5099.3,0
Male,0,No,Yes,19,Yes,No,DSL,Yes,Yes,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),54.03,1060.13,0
Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),88.64,0.0,0
Female,0,No,No,71,Yes,No,No,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),58.81,4217.63,0
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,87.7,5437.73,0
Female,0,Yes,Yes,66,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.12,3362.82,0
Female,0,No,Yes,3,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),45.15,122.84,1
Male,0,No,No,57,Yes,Yes,No,No,Yes,No internet service,Yes,No,Yes,One year,Yes,Bank transfer (automatic),106.49,6157.01,0
Female,0,No,No,24,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),39.62,977.57,0
Male,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,100.67,4585.56,0
Male,0,Yes,No,37,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),87.58,3296.87,1
Male,0,No,No,14,Yes,No,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,72.83,966.73,0
Male,0,Yes,No,62,Yes,No phone service,No,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),18.0,1060.31,0
Male,0,No,No,20,No,Yes,Fiber optic,Yes,No,No internet service,No,No,No,One year,No,Mailed check,114.57,2355.84,0
Female,0,No,No,56,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,41.95,2365.97,0
Female,1,Yes,Yes,52,No,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,98.59,5130.3,0
Female,0,Yes,No,45,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),49.27,2191.95,1
Male,0,No,No,13,No,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,One year,Yes,Electronic check,46.87,650.89,1
Female,1,No,No,16,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),90.06,1427.37,0
Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No,Two year,Yes,Mailed check,86.15,3283.78,0
Female,0,No,No,8,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,35.65,228.84,1
Male,1,No,No,5,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,Two year,Yes,Mailed check,113.1,562.62,1
Male,1,No,No,22,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),63.82,1412.8,1
Female,0,No,No,58,No,No,Fiber optic,No internet service,No,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),72.07,4206.78,0
Female,0,No,Yes,45,Yes,No,DSL,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),61.09,2765.94,0
Female,0,No,No,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),36.92,1349.36,1
Female,1,No,No,13,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No,No,One year,Yes,Electronic check,92.06,1211.02,0
Male,0,No,No,71,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.69,5636.03,0
Female,0,No,No,61,Yes,No,DSL,No,Yes,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),45.85,2722.65,0
Female,0,Yes,No,34,No,No,DSL,No internet service,No internet service,No,No,Yes,No,Month-to-month,No,Credit card (automatic),98.32,3334.61,0
Female,0,Yes,No,18,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,71.65,1300.14,0
Male,0,No,No,29,No,No,Fiber optic,No,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,72.29,2050.3,1
Male,0,Yes,Yes,24,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,123.3,3005.69,0
Female,0,No,Yes,39,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.76,878.62,0
Male,0,No,No,13,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),21.36,327.59,1
Male,0,No,No,25,Yes,Yes,DSL,Yes,No,No,No internet service,No,No,Two year,Yes,Credit card (automatic),28.12,810.98,0
Male,1,No,No,21,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),80.91,1715.62,1
Female,0,No,Yes,47,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),59.23,2769.65,0
Male,0,No,Yes,50,Yes,No,DSL,No,No,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),61.61,3127.43,0
Female,0,No,Yes,2,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),41.73,54.06,0
Male,0,No,No,41,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),119.96,4941.57,1
Male,0,Yes,No,18,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,130.03,2392.38,1
Female,0,No,No,27,No,Yes,No,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,96.97,2659.8,0
Female,0,No,No,44,Yes,Yes,DSL,No internet service,No,No,No,No,No internet service,Two year,No,Bank transfer (automatic),24.78,1160.69,0
Male,0,Yes,No,70,Yes,Yes,DSL,Yes,Yes,No,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),55.39,3863.64,0
Male,0,No,No,62,Yes,No,DSL,Yes,No,No,No,No,No internet service,One year,Yes,Credit card (automatic),94.82,5914.29,0
Female,1,Yes,Yes,18,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),68.63,1239.98,0
Male,0,Yes,No,46,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,97.07,4477.88,0
Female,0,No,No,13,No,Yes,No,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),107.43,1409.25,0
Female,0,Yes,No,37,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,Two year,Yes,Electronic check,127.22,4734.09,1
Female,0,Yes,No,52,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,50.35,2616.53,0
Male,0,No,No,60,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,72.44,4275.38,0
Male,0,Yes,No,35,No,No,DSL,No internet service,No,No internet service,No,No,No internet service,Two year,No,Bank transfer (automatic),56.78,1995.01,0
Female,0,No,Yes,39,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,720.09,0
Male,0,Yes,No,29,No,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,91.05,2638.36,0
Female,0,Yes,Yes,8,Yes,No,DSL,No internet service,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),86.9,716.97,0
Male,0,Yes,No,63,Yes,No,DSL,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),53.6,3370.63,0
Male,0,No,No,32,No,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,22.06,692.36,0
Male,0,No,No,51,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,58.48,3052.03,0
Male,0,No,No,13,No,No,No,No,No internet service,No,Yes,No,No,One year,Yes,Credit card (automatic),91.93,1307.94,0
Female,0,Yes,Yes,52,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),110.12,5770.22,1
Male,0,Yes,No,58,No,Yes,No,No,No,No,No,No internet service,Yes,Two year,Yes,Mailed check,48.62,2791.23,0
Female,0,Yes,No,40,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),103.23,4140.45,1
Male,0,No,Yes,67,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,88.67,5948.39,0
Female,0,No,No,67,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),82.4,5554.34,0
Male,1,Yes,No,7,Yes,No,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,31.19,227.74,0
Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,32.5,63.25,1
Male,1,No,No,40,Yes,No phone service,DSL,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,45.08,1892.62,0
Female,0,No,Yes,54,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,No,Two year,Yes,Bank transfer (automatic),60.21,3159.17,1
Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,124.02,1834.99,1
Male,0,Yes,No,61,No,No,DSL,No,Yes,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),50.13,3105.9,0
Male,0,No,Yes,47,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,93.14,4375.37,1
Female,0,No,Yes,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,No internet service,Two year,No,Bank transfer (automatic),56.06,1655.38,0
Female,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),84.18,916.49,0
Male,0,No,No,34,Yes,No,No,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,68.11,2393.75,0
Female,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.31,811.16,0
Male,0,Yes,No,63,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,81.09,5123.6,1
Male,1,No,No,49,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,One year,No,Credit card (automatic),62.52,3147.19,0
Male,0,No,No,20,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,One year,Yes,Electronic check,81.23,1640.08,1
Female,0,Yes,Yes,68,Yes,No,No,No,No,No,No,Yes,No,One year,No,Electronic check,107.02,7280.67,0
Female,0,No,No,47,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),47.38,2300.37,1
Male,0,Yes,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),105.58,1936.06,1
Female,0,No,No,66,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),62.04,4103.03,1
Female,0,No,No,43,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,58.87,2549.07,0
Male,0,Yes,No,32,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,90.99,2900.55,0
Male,0,No,No,60,Yes,Yes,DSL,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,59.77,3548.92,0
Female,0,No,Yes,8,No,Yes,No,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,79.58,633.04,0
Male,1,Yes,No,67,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,76.77,5068.07,0
Male,0,No,No,34,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,No,Month-to-month,Yes,Electronic check,18.0,689.67,0
Female,0,Yes,No,64,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),82.53,5362.09,1
Female,0,Yes,No,7,Yes,Yes,No,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,26.77,191.06,1
Female,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,29.05,1262.65,0
Male,1,No,No,46,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),80.99,3651.69,0
Male,0,Yes,Yes,39,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),86.1,3325.21,0
Female,0,No,No,53,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),106.15,5700.09,0
Female,0,No,No,45,Yes,No,No,No,No,No,No,Yes,No,Two year,No,Electronic check,37.32,1679.81,0
Male,0,No,No,46,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),47.76,2171.27,0
Female,1,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),83.93,1177.35,0
Female,0,No,No,18,No,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,106.73,1894.17,0
Male,0,No,No,25,Yes,No,DSL,No internet service,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),75.77,1815.42,0
Male,0,No,No,51,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,43.66,2211.34,0
Female,0,Yes,No,21,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,115.19,2366.74,0
Female,0,No,No,20,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),62.13,1264.0,0
Male,1,Yes,No,50,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,63.06,3199.41,0
Male,0,Yes,No,37,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,26.92,960.44,1
Male,0,No,No,19,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),91.72,1752.41,0
Male,0,No,Yes,28,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,No,Two year,No,Bank transfer (automatic),95.58,2675.46,0
Female,0,Yes,No,50,Yes,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Two year,No,Mailed check,48.83,2404.65,0
Male,0,No,No,3,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,122.54,253.74,1
Male,1,No,No,54,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,52.39,2777.83,0
Female,0,No,No,70,Yes,No,No,No,Yes,Yes,No internet service,No,No,One year,Yes,Mailed check,88.76,6174.39,0
Female,0,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,76.71,2078.33,0
Female,0,No,No,3,Yes,No,Fiber optic,Yes,Yes,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,66.16,1
Male,0,Yes,No,21,No,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,86.32,1874.8,0
Female,1,No,No,44,Yes,No,No,Yes,No internet service,Yes,No,No internet service,No,Two year,No,Bank transfer (automatic),83.62,3627.61,0
Male,0,No,No,66,Yes,No,No,No,No,No internet service,No,No,No,Two year,No,Bank transfer (automatic),18.0,1147.01,0
Male,0,No,No,65,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,Yes,One year,Yes,Credit card (automatic),115.76,7492.16,1
Female,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Electronic check,83.75,2754.23,1
Male,0,No,Yes,54,Yes,No,No,No,No,No,No,No,Yes,Two year,No,Electronic check,107.18,5798.7,0
Female,0,Yes,No,0,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Electronic check,18.52,0.0,1
Female,0,Yes,No,71,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,No,Credit card (automatic),57.69,4001.87,0
Male,1,Yes,No,37,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Mailed check,105.42,3960.29,0
Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,22.95,138.23,0
Male,0,Yes,Yes,24,Yes,No,DSL,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),58.57,1449.82,1
Female,0,No,No,16,Yes,Yes,No,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Mailed check,82.2,1195.76,0
Female,0,No,No,60,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,18.0,1121.59,0
Female,0,Yes,Yes,11,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Two year,Yes,Electronic check,30.36,284.21,0
Male,0,No,No,5,No,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),111.46,534.76,0
Female,0,Yes,Yes,26,No,No,No,No,Yes,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),71.79,1938.24,0
Female,0,No,Yes,7,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),105.3,769.98,1
Female,1,Yes,No,64,Yes,No,DSL,No,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),75.46,4795.61,0
Male,0,Yes,No,56,Yes,No,DSL,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),143.68,8085.89,0
Male,1,Yes,Yes,39,Yes,No,No,No internet service,No,Yes,Yes,Yes,No internet service,One year,No,Credit card (automatic),83.16,3261.28,0
Male,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),108.09,1384.8,0
Female,0,Yes,Yes,34,Yes,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),62.62,2152.87,0
Female,0,No,Yes,47,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,76.32,3568.13,1
Male,0,No,No,55,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),89.26,4928.65,0
Male,0,No,No,48,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),94.23,4541.75,0
Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,Two year,Yes,Electronic check,68.83,851.13,1
Female,0,Yes,Yes,60,Yes,No phone service,No,No internet service,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),70.08,4301.02,0
